"Symbol","year","avg_yearly_price","yearly_low","yearly_high","total_yearly_volume"
"AAPL","2023","170.51","123.16","196.26","14805886900"
"AAPL","2024","205.84","163.66","257.85","14390908500"
"AAPL","2025","231.62","171.83","286.19","13516651000"
"AMZN","2023","121.37","83.12","154.07","14709447900"
"AMZN","2024","184.63","144.57","232.93","10325683300"
"AMZN","2025","217.62","167.32","254.00","11085457800"
"GOOGL","2023","117.90","85.55","140.46","8182228100"
"GOOGL","2024","162.78","130.41","195.89","6918803600"
"GOOGL","2025","210.12","144.30","323.23","9048224700"
"META","2023","259.61","123.87","355.83","6057638000"
"META","2024","506.68","342.08","630.18","3699597900"
"META","2025","668.43","483.57","788.82","3865810100"
"MSFT","2023","308.14","217.12","377.08","6919274400"
"MSFT","2024","415.68","362.35","462.38","5187829000"
"MSFT","2025","462.75","352.67","541.06","5532758800"
"NVDA","2023","36.54","14.25","50.38","118389365000"
"NVDA","2024","107.78","47.54","148.83","95051652300"
"NVDA","2025","153.75","94.29","207.03","55067638300"
"TSLA","2023","217.48","108.10","293.34","34337910000"
"TSLA","2024","230.61","142.05","479.86","23899546500"
"TSLA","2025","356.60","221.86","489.88","24375062000"
