"Symbol","trade_date","close_price","daily_return_pct","volume"
"TSLA","2025-03-10","222.15","-12.03","189076900"
"TSLA","2025-06-05","284.70","-11.72","287499800"
"NVDA","2025-02-27","120.12","-11.00","443175800"
"TSLA","2025-04-08","221.86","-9.44","171603500"
"TSLA","2024-09-06","210.73","-9.40","112177000"
"TSLA","2023-01-03","108.10","-8.75","231402800"
"TSLA","2024-07-11","241.03","-8.46","221707300"
"NVDA","2025-01-07","140.10","-8.42","351782200"
"NVDA","2024-04-19","76.16","-8.36","875198000"
"NVDA","2024-08-07","98.87","-8.26","411440400"
"NVDA","2024-03-08","87.48","-8.00","1142269000"
"AMZN","2025-04-08","170.66","-7.87","87710400"
"NVDA","2025-11-20","180.63","-7.81","343504800"
"GOOGL","2025-05-07","150.96","-7.74","127490100"
"AAPL","2025-04-08","171.83","-7.65","120859500"
"NVDA","2025-03-03","114.03","-7.65","411381400"
"TSLA","2025-02-25","302.80","-7.41","134228800"
"TSLA","2025-10-02","436.00","-7.34","137009000"
"NVDA","2025-04-08","96.28","-7.23","476243400"
"NVDA","2024-08-01","109.16","-7.08","523462300"
